Icon,Date/Time,Description,"Event Type"
true,"2009-11-08 11:28:49","SONY : HDR-SR10 : DSC00076.JPG",Exif
true,"2009-11-08 11:28:53","SONY : HDR-SR10 : DSC00077.JPG",Exif
true,"2009-11-08 11:28:55","SONY : HDR-SR10 : DSC00078.JPG",Exif
true,"2009-11-08 11:28:57","SONY : HDR-SR10 : DSC00079.JPG",Exif
true,"2009-11-08 11:29:00","SONY : HDR-SR10 : DSC00080.JPG",Exif
true,"2009-11-08 11:29:05","SONY : HDR-SR10 : DSC00081.JPG",Exif
true,"2009-11-08 11:29:10","SONY : HDR-SR10 : DSC00082.JPG",Exif
true,"2009-11-08 11:29:13","SONY : HDR-SR10 : DSC00083.JPG",Exif
true,"2009-11-08 11:29:17","SONY : HDR-SR10 : DSC00084.JPG",Exif
true,"2009-11-11 09:16:56","SONY : CYBERSHOT : DSC00009.JPG",Exif
true,"2009-11-11 09:17:19","SONY : CYBERSHOT : DSC00010.JPG",Exif
true,"2009-11-11 09:17:28","SONY : CYBERSHOT : DSC00011.JPG",Exif
true,"2009-11-11 09:18:03","SONY : CYBERSHOT : DSC00012.JPG",Exif
true,"2009-11-11 09:18:11","SONY : CYBERSHOT : DSC00013.JPG",Exif
true,"2009-11-11 09:18:16","SONY : CYBERSHOT : DSC00014.JPG",Exif
true,"2009-11-11 21:55:34","SONY : CYBERSHOT : DSC00015.JPG",Exif
true,"2009-11-11 21:55:41","SONY : CYBERSHOT : DSC00016.JPG",Exif
true,"2009-11-11 21:55:48","SONY : CYBERSHOT : DSC00017.JPG",Exif
true,"2009-11-11 21:55:54","SONY : CYBERSHOT : DSC00018.JPG",Exif
true,"2009-11-11 21:56:02","SONY : CYBERSHOT : DSC00019.JPG",Exif
true,"2009-11-11 21:56:10","SONY : CYBERSHOT : DSC00020.JPG",Exif
true,"2009-11-11 21:56:16","SONY : CYBERSHOT : DSC00021.JPG",Exif
true,"2009-11-11 21:56:25","SONY : CYBERSHOT : DSC00022.JPG",Exif
true,"2009-11-11 21:56:35","SONY : CYBERSHOT : DSC00023.JPG",Exif
true,"2009-11-12 09:05:09","SONY : CYBERSHOT : DSC00024.JPG",Exif
true,"2009-11-12 09:05:15","SONY : CYBERSHOT : DSC00025.JPG",Exif
true,"2009-11-12 09:05:23","SONY : CYBERSHOT : DSC00026.JPG",Exif
true,"2009-11-12 09:05:30","SONY : CYBERSHOT : DSC00027.JPG",Exif
