Icon,Date/Time,Description,Event Type
TRUE,11/8/2009 11:23,SONY : HDR-SR10 : DSC00035.JPG,Exif
TRUE,11/8/2009 11:23,SONY : HDR-SR10 : DSC00035.JPG,Exif
TRUE,11/8/2009 11:23,SONY : HDR-SR10 : DSC00036.JPG,Exif
TRUE,11/8/2009 11:23,SONY : HDR-SR10 : DSC00036.JPG,Exif
TRUE,11/8/2009 11:23,SONY : HDR-SR10 : DSC00037.JPG,Exif
TRUE,11/8/2009 11:23,SONY : HDR-SR10 : DSC00037.JPG,Exif
TRUE,11/8/2009 11:23,SONY : HDR-SR10 : DSC00038.JPG,Exif
TRUE,11/8/2009 11:23,SONY : HDR-SR10 : DSC00038.JPG,Exif
TRUE,11/8/2009 11:23,SONY : HDR-SR10 : DSC00039.JPG,Exif
TRUE,11/8/2009 11:23,SONY : HDR-SR10 : DSC00039.JPG,Exif
TRUE,11/8/2009 11:23,SONY : HDR-SR10 : DSC00040.JPG,Exif
TRUE,11/8/2009 11:23,SONY : HDR-SR10 : DSC00040.JPG,Exif
TRUE,11/8/2009 11:23,SONY : HDR-SR10 : DSC00041.JPG,Exif
TRUE,11/8/2009 11:23,SONY : HDR-SR10 : DSC00041.JPG,Exif
TRUE,11/8/2009 11:23,SONY : HDR-SR10 : DSC00042.JPG,Exif
TRUE,11/8/2009 11:23,SONY : HDR-SR10 : DSC00042.JPG,Exif
TRUE,11/8/2009 11:24,SONY : HDR-SR10 : DSC00043.JPG,Exif
TRUE,11/8/2009 11:24,SONY : HDR-SR10 : DSC00043.JPG,Exif
TRUE,11/8/2009 11:24,SONY : HDR-SR10 : DSC00044.JPG,Exif
TRUE,11/8/2009 11:24,SONY : HDR-SR10 : DSC00044.JPG,Exif
TRUE,11/8/2009 11:24,SONY : HDR-SR10 : DSC00045.JPG,Exif
TRUE,11/8/2009 11:24,SONY : HDR-SR10 : DSC00045.JPG,Exif
TRUE,11/8/2009 11:24,SONY : HDR-SR10 : DSC00046.JPG,Exif
TRUE,11/8/2009 11:24,SONY : HDR-SR10 : DSC00046.JPG,Exif
TRUE,11/8/2009 11:24,SONY : HDR-SR10 : DSC00047.JPG,Exif
TRUE,11/8/2009 11:24,SONY : HDR-SR10 : DSC00047.JPG,Exif
TRUE,11/8/2009 11:24,SONY : HDR-SR10 : DSC00048.JPG,Exif
TRUE,11/8/2009 11:24,SONY : HDR-SR10 : DSC00048.JPG,Exif
TRUE,11/8/2009 11:24,SONY : HDR-SR10 : DSC00049.JPG,Exif
TRUE,11/8/2009 11:24,SONY : HDR-SR10 : DSC00049.JPG,Exif
TRUE,11/8/2009 11:25,SONY : HDR-SR10 : DSC00050.JPG,Exif
TRUE,11/8/2009 11:25,SONY : HDR-SR10 : DSC00050.JPG,Exif
TRUE,11/8/2009 11:25,SONY : HDR-SR10 : DSC00051.JPG,Exif
TRUE,11/8/2009 11:25,SONY : HDR-SR10 : DSC00051.JPG,Exif
TRUE,11/8/2009 11:25,SONY : HDR-SR10 : DSC00052.JPG,Exif
TRUE,11/8/2009 11:25,SONY : HDR-SR10 : DSC00052.JPG,Exif
TRUE,11/8/2009 11:25,SONY : HDR-SR10 : DSC00053.JPG,Exif
TRUE,11/8/2009 11:25,SONY : HDR-SR10 : DSC00053.JPG,Exif
TRUE,11/8/2009 11:25,SONY : HDR-SR10 : DSC00054.JPG,Exif
TRUE,11/8/2009 11:25,SONY : HDR-SR10 : DSC00054.JPG,Exif
TRUE,11/8/2009 11:25,SONY : HDR-SR10 : DSC00055.JPG,Exif
TRUE,11/8/2009 11:25,SONY : HDR-SR10 : DSC00055.JPG,Exif
TRUE,11/8/2009 11:26,SONY : HDR-SR10 : DSC00056.JPG,Exif
TRUE,11/8/2009 11:26,SONY : HDR-SR10 : DSC00056.JPG,Exif
TRUE,11/8/2009 11:26,SONY : HDR-SR10 : DSC00057.JPG,Exif
TRUE,11/8/2009 11:26,SONY : HDR-SR10 : DSC00057.JPG,Exif
TRUE,11/8/2009 11:26,SONY : HDR-SR10 : DSC00058.JPG,Exif
TRUE,11/8/2009 11:26,SONY : HDR-SR10 : DSC00058.JPG,Exif
TRUE,11/8/2009 11:26,SONY : HDR-SR10 : DSC00059.JPG,Exif
TRUE,11/8/2009 11:26,SONY : HDR-SR10 : DSC00059.JPG,Exif
TRUE,11/8/2009 11:26,SONY : HDR-SR10 : DSC00060.JPG,Exif
TRUE,11/8/2009 11:26,SONY : HDR-SR10 : DSC00060.JPG,Exif
TRUE,11/8/2009 11:26,SONY : HDR-SR10 : DSC00061.JPG,Exif
TRUE,11/8/2009 11:26,SONY : HDR-SR10 : DSC00061.JPG,Exif
TRUE,11/8/2009 11:26,SONY : HDR-SR10 : DSC00062.JPG,Exif
TRUE,11/8/2009 11:26,SONY : HDR-SR10 : DSC00062.JPG,Exif
TRUE,11/8/2009 11:26,SONY : HDR-SR10 : DSC00063.JPG,Exif
TRUE,11/8/2009 11:26,SONY : HDR-SR10 : DSC00063.JPG,Exif
TRUE,11/8/2009 11:26,SONY : HDR-SR10 : DSC00064.JPG,Exif
TRUE,11/8/2009 11:26,SONY : HDR-SR10 : DSC00064.JPG,Exif
TRUE,11/8/2009 11:26,SONY : HDR-SR10 : DSC00065.JPG,Exif
TRUE,11/8/2009 11:26,SONY : HDR-SR10 : DSC00065.JPG,Exif
TRUE,11/8/2009 11:28,SONY : HDR-SR10 : DSC00066.JPG,Exif
